Type,Name,Net Payment This Period,Comparable Payment Prior Year,Period Percent Change,Payment Year to Date,Prior Year Payment Year to Date,Year Percent Change,Report Period,Report Year,Report Period Type
CITY,Dickinson,$11389.76,$11349.81,0.35%,$47140.86,$50153.93,-6.01%,4,2015,"QUARTERLY"""
COUNTY,Harris,$5509863.59,$4881348.58,12.88%,$5509863.59,$4881348.58,12.88%,1,2015,"QUARTERLY"""
CITY,Anthony,$127.18,$59.87,112.43%,$427.33,$385.78,10.77%,4,2015,"QUARTERLY"""
CITY,Hemphill,$218.83,$147.22,48.64%,$722.36,$240.29,200.62%,4,2015,"QUARTERLY"""
CITY,Shiner,$130.82,$74.27,76.14%,$130.82,$74.27,76.14%,1,2015,"QUARTERLY"""
CITY,China Grove,$1660.50,$1483.30,11.95%,$1660.50,$1483.30,11.95%,1,2016,"QUARTERLY"""
COUNTY,Van Zandt,$11615.09,$8379.92,38.61%,$19886.11,$15150.81,31.25%,2,2015,"QUARTERLY"""
CITY,Dayton,$712.16,$475.85,49.66%,$2521.12,$1944.92,29.63%,4,2013,"QUARTERLY"""
COUNTY,Brazos,$187786.23,$132952.40,41.24%,$345749.23,$248001.08,39.41%,2,2014,"QUARTERLY"""
CITY,Mason,$745.95,$0.00,0%,$1416.91,$0.00,0%,2,2015,"QUARTERLY"""
COUNTY,Hidalgo,$295623.08,$315941.56,-6.43%,$1274886.25,$1246069.81,2.31%,4,2015,"QUARTERLY"""
CITY,Snyder,$2121.72,$2981.19,-28.83%,$4818.91,$6290.54,-23.39%,2,2016,"QUARTERLY"""
CITY,Snyder,$2121.72,$2981.19,-28.83%,$4818.91,$6290.54,-23.39%,2,2016,"QUARTERLY"""
CITY,Deer Park,$2081.39,$1898.74,9.62%,$7151.14,$6803.27,5.11%,3,2015,"QUARTERLY"""
CITY,Frisco,$244537.03,$159873.72,52.96%,$244537.03,$159873.72,52.96%,1,2015,"QUARTERLY"""
CITY,Hillsboro,$2486.45,$2128.94,16.79%,$10178.64,$8599.38,18.36%,4,2014,"QUARTERLY"""
CITY,Burnet,$1053.46,$920.64,14.43%,$1053.46,$920.64,14.43%,1,2015,"QUARTERLY"""
COUNTY,Cherokee,$5203.37,$5916.52,-12.05%,$22929.09,$26006.58,-11.83%,4,2015,"QUARTERLY"""
COUNTY,Gillespie,$36285.93,$23019.51,57.63%,$62722.43,$40997.85,52.99%,2,2014,"QUARTERLY"""
COUNTY,Lubbock,$323704.60,$293834.35,10.17%,$323704.60,$293834.35,10.17%,1,2015,"QUARTERLY"""
COUNTY,Dawson,$3150.08,$854.05,268.84%,$5927.60,$3783.32,56.68%,4,2013,"QUARTERLY"""
CITY,Killeen,$59249.11,$65978.24,-10.2%,$59249.11,$65978.24,-10.2%,1,2016,"QUARTERLY"""
COUNTY,Wichita,$78153.09,$57153.68,36.74%,$147304.90,$111620.12,31.97%,2,2014,"QUARTERLY"""
CITY,Weatherford,$22551.76,$24872.45,-9.33%,$22551.76,$24872.45,-9.33%,1,2015,"QUARTERLY"""
COUNTY,Live Oak,$906.16,$715.81,26.59%,$906.16,$715.81,26.59%,1,2013,"QUARTERLY"""
COUNTY,Jim Wells,$18024.39,$8977.88,100.76%,$55774.28,$35934.64,55.21%,4,2013,"QUARTERLY"""
CITY,Godley,$763.58,$0.00,0%,$1627.80,$0.00,0%,4,2015,"QUARTERLY"""
CITY,Odem,$289.77,$0.00,0%,$920.55,$198.27,364.29%,3,2015,"QUARTERLY"""
COUNTY,Lubbock,$302359.87,$297982.00,1.47%,$954350.03,$921652.08,3.55%,3,2015,"QUARTERLY"""
COUNTY,Wharton,$5082.40,$4780.45,6.32%,$5082.40,$4780.45,6.32%,1,2014,"QUARTERLY"""
CITY,West Orange,$1575.67,$1321.24,19.26%,$6523.72,$5154.34,26.57%,4,2014,"QUARTERLY"""
CITY,Canyon,$3285.88,$1858.70,76.78%,$4692.76,$3725.88,25.95%,2,2015,"QUARTERLY"""
CITY,Mansfield,$42274.69,$38790.21,8.98%,$42274.69,$38790.21,8.98%,1,2015,"QUARTERLY"""
CITY,Cuero,$1377.93,$2334.88,-40.98%,$6946.50,$12712.17,-45.36%,4,2015,"QUARTERLY"""
CITY,Leander,$1926.14,$1731.93,11.21%,$1926.14,$1731.93,11.21%,1,2015,"QUARTERLY"""
CITY,Buffalo,$923.05,$630.11,46.49%,$2489.07,$1698.38,46.56%,3,2014,"QUARTERLY"""
CITY,Cotulla,$4580.46,$3260.58,40.48%,$12688.10,$6294.82,101.56%,3,2014,"QUARTERLY"""
CITY,West Tawakoni,$1624.17,$1427.33,13.79%,$4535.71,$4299.60,5.49%,3,2013,"QUARTERLY"""
COUNTY,Gaines,$454.83,$0.00,0%,$454.83,$0.00,0%,1,2014,"QUARTERLY"""
CITY,Splendora,$802.96,$783.32,2.51%,$802.96,$783.32,2.51%,1,2016,"QUARTERLY"""
CITY,Lake Jackson,$29626.16,$32261.40,-8.17%,$61205.59,$63811.35,-4.08%,2,2016,"QUARTERLY"""
CITY,Lake Jackson,$29626.16,$32261.40,-8.17%,$61205.59,$63811.35,-4.08%,2,2016,"QUARTERLY"""
COUNTY,Brewster,$13514.78,$10457.75,29.23%,$25156.31,$18578.47,35.41%,2,2015,"QUARTERLY"""
CITY,Perryton,$3228.76,$739.77,336.45%,$10550.75,$3473.47,203.75%,4,2014,"QUARTERLY"""
COUNTY,Erath,$21882.71,$19523.91,12.08%,$67763.11,$53559.92,26.52%,3,2014,"QUARTERLY"""
COUNTY,Somervell,$3948.71,$3224.64,22.45%,$10133.92,$7881.62,28.58%,3,2014,"QUARTERLY"""
COUNTY,Morris,$1271.31,$937.82,35.56%,$1916.10,$2124.68,-9.82%,2,2016,"QUARTERLY"""
