Type,Name,Net Payment This Period,Comparable Payment Prior Year,Period Percent Change,Payment Year to Date,Prior Year Payment Year to Date,Year Percent Change,Report Period,Report Year,Report Period Type
CITY,Universal City,$11130.35,$7064.42,57.56%,$11130.35,$7064.42,57.56%,1,2014,"QUARTERLY"""
COUNTY,Hartley,$423.04,$403.29,4.9%,$423.04,$403.29,4.9%,1,2015,"QUARTERLY"""
CITY,Bangs,$0.00,$0.00,0%,$0.00,$56.79,-100%,3,2015,"QUARTERLY"""
COUNTY,Val Verde,$19770.38,$19941.09,-0.86%,$38345.63,$39943.53,-4%,2,2016,"QUARTERLY"""
COUNTY,Val Verde,$19770.38,$19941.09,-0.86%,$38345.63,$39943.53,-4%,2,2016,"QUARTERLY"""
CITY,Nixon,$0.00,$0.00,0%,$0.00,$32.56,-100%,3,2014,"QUARTERLY"""
COUNTY,Nueces,$291679.16,$273060.71,6.82%,$536249.30,$512783.37,4.58%,2,2013,"QUARTERLY"""
CITY,Buda,$3507.89,$2740.85,27.99%,$3507.89,$2740.85,27.99%,1,2013,"QUARTERLY"""
CITY,La Porte,$23827.27,$18098.73,31.65%,$23827.27,$18098.73,31.65%,1,2015,"QUARTERLY"""
COUNTY,Deaf Smith,$2381.96,$3064.94,-22.28%,$10989.09,$11758.37,-6.54%,4,2015,"QUARTERLY"""
CITY,Canyon,$2874.79,$2467.92,16.49%,$10050.99,$9383.10,7.12%,4,2015,"QUARTERLY"""
CITY,Bonham,$212.83,$2126.62,-89.99%,$212.83,$2126.62,-89.99%,1,2015,"QUARTERLY"""
CITY,Pilot Point,$3444.75,$3059.26,12.6%,$6652.35,$5727.54,16.15%,2,2016,"QUARTERLY"""
CITY,Pilot Point,$3444.75,$3059.26,12.6%,$6652.35,$5727.54,16.15%,2,2016,"QUARTERLY"""
CITY,Southlake,$56026.90,$46895.07,19.47%,$112747.72,$94275.59,19.59%,2,2013,"QUARTERLY"""
COUNTY,Hidalgo,$319571.63,$231651.16,37.95%,$626671.47,$465123.15,34.73%,2,2014,"QUARTERLY"""
CITY,Plano,$414048.53,$377464.68,9.69%,$1696286.42,$1378766.82,23.03%,4,2014,"QUARTERLY"""
CITY,Olmos Park,$2619.39,$1172.57,123.39%,$8442.17,$5063.95,66.71%,4,2013,"QUARTERLY"""
CITY,Trinidad,$362.02,$413.88,-12.53%,$362.02,$413.88,-12.53%,1,2015,"QUARTERLY"""
COUNTY,Castro,$574.25,$600.83,-4.42%,$1251.16,$1240.88,0.83%,2,2015,"QUARTERLY"""
COUNTY,Orange,$15179.68,$14792.38,2.62%,$15179.68,$14792.38,2.62%,1,2016,"QUARTERLY"""
COUNTY,Fayette,$7834.46,$7121.23,10.02%,$14089.09,$13461.62,4.66%,2,2015,"QUARTERLY"""
CITY,Flower Mound,$38354.31,$34356.65,11.64%,$38354.31,$34356.65,11.64%,1,2015,"QUARTERLY"""
CITY,Schulenburg,$2238.85,$1524.71,46.84%,$5810.94,$5009.50,16%,3,2015,"QUARTERLY"""
CITY,Brackettville,$203.01,$337.95,-39.93%,$363.58,$571.07,-36.33%,2,2016,"QUARTERLY"""
CITY,Brackettville,$203.01,$337.95,-39.93%,$363.58,$571.07,-36.33%,2,2016,"QUARTERLY"""
CITY,Rio Vista,$114.54,$98.09,16.77%,$395.15,$478.32,-17.39%,4,2013,"QUARTERLY"""
COUNTY,Aransas,$27905.77,$23374.82,19.38%,$27905.77,$23374.82,19.38%,1,2016,"QUARTERLY"""
CITY,Hawley,$77.99,$190.32,-59.02%,$473.10,$561.72,-15.78%,4,2015,"QUARTERLY"""
CITY,Houston,$4237177.26,$4241032.45,-0.09%,$8454744.41,$8306581.61,1.78%,2,2016,"QUARTERLY"""
CITY,Houston,$4237177.26,$4241032.45,-0.09%,$8454744.41,$8306581.61,1.78%,2,2016,"QUARTERLY"""
CITY,Sansom Park,$2306.04,$2039.42,13.07%,$4485.84,$3918.89,14.47%,2,2013,"QUARTERLY"""
COUNTY,San Jacinto,$1336.37,$1419.93,-5.88%,$2412.78,$2945.05,-18.07%,2,2014,"QUARTERLY"""
CITY,Memphis,$386.46,$262.27,47.35%,$1018.30,$990.10,2.85%,3,2014,"QUARTERLY"""
COUNTY,Childress,$1486.01,$1860.89,-20.15%,$2964.74,$3151.33,-5.92%,2,2015,"QUARTERLY"""
CITY,Volente,$232.75,$270.41,-13.93%,$232.75,$270.41,-13.93%,1,2016,"QUARTERLY"""
COUNTY,Moore,$5124.99,$5316.33,-3.6%,$9839.12,$10225.76,-3.78%,2,2016,"QUARTERLY"""
COUNTY,Moore,$5124.99,$5316.33,-3.6%,$9839.12,$10225.76,-3.78%,2,2016,"QUARTERLY"""
COUNTY,Lee,$1478.31,$1177.93,25.5%,$2716.01,$2208.41,22.98%,2,2013,"QUARTERLY"""
CITY,Daingerfield,$215.20,$201.23,6.94%,$770.38,$889.94,-13.43%,4,2015,"QUARTERLY"""
CITY,Benbrook,$1098.01,$1244.98,-11.81%,$2323.73,$3091.23,-24.83%,3,2015,"QUARTERLY"""
CITY,Tool,$629.54,$247.13,154.74%,$855.53,$247.13,246.19%,3,2013,"QUARTERLY"""
CITY,Needville,$1125.36,$1415.53,-20.5%,$1125.36,$1415.53,-20.5%,1,2016,"QUARTERLY"""
COUNTY,Walker,$27348.83,$26249.39,4.19%,$27348.83,$26249.39,4.19%,1,2015,"QUARTERLY"""
COUNTY,Atascosa,$7636.72,$6017.78,26.9%,$7636.72,$6017.78,26.9%,1,2015,"QUARTERLY"""
CITY,Horizon City,$2269.11,$1005.03,125.78%,$7623.70,$2363.11,222.61%,3,2014,"QUARTERLY"""
CITY,El Paso,$574338.27,$546097.20,5.17%,$574338.27,$546097.20,5.17%,1,2016,"QUARTERLY"""
CITY,Humble,$68796.02,$71255.05,-3.45%,$139520.80,$148178.18,-5.84%,2,2016,"QUARTERLY"""
CITY,Humble,$68796.02,$71255.05,-3.45%,$139520.80,$148178.18,-5.84%,2,2016,"QUARTERLY"""
CITY,Cut And Shoot,$989.41,$1010.34,-2.07%,$989.41,$1010.34,-2.07%,1,2015,"QUARTERLY"""
CITY,Howardwick,$90.91,$119.39,-23.85%,$433.17,$476.32,-9.06%,4,2015,"QUARTERLY"""
CITY,Sonora,$281.03,$328.72,-14.51%,$639.65,$666.72,-4.06%,2,2013,"QUARTERLY"""
CITY,Frankston,$220.03,$176.83,24.43%,$597.45,$752.74,-20.63%,3,2015,"QUARTERLY"""
COUNTY,Robertson,$662.86,$628.13,5.53%,$662.86,$628.13,5.53%,1,2014,"QUARTERLY"""
CITY,Lufkin,$24993.01,$22027.83,13.46%,$50059.17,$48903.49,2.36%,2,2016,"QUARTERLY"""
CITY,Lufkin,$24993.01,$22027.83,13.46%,$50059.17,$48903.49,2.36%,2,2016,"QUARTERLY"""
CITY,North Cleveland,$312.24,$235.87,32.38%,$1042.37,$713.12,46.17%,3,2014,"QUARTERLY"""
CITY,Bellmead,$2826.83,$1268.79,122.8%,$4571.33,$2016.52,126.69%,2,2014,"QUARTERLY"""
CITY,Tool,$69.65,$0.00,0%,$190.61,$855.53,-77.72%,4,2014,"QUARTERLY"""
CITY,Sherman,$21367.38,$22442.34,-4.79%,$42699.79,$43333.58,-1.46%,2,2013,"QUARTERLY"""
COUNTY,Zapata,$1628.57,$481.00,238.58%,$1628.57,$481.00,238.58%,1,2016,"QUARTERLY"""
CITY,Highland Park,$47649.91,$39501.99,20.63%,$168397.75,$155866.24,8.04%,4,2013,"QUARTERLY"""
CITY,Boyd,$0.00,$143.62,-100%,$0.00,$296.69,-100%,2,2015,"QUARTERLY"""
COUNTY,Denton,$620707.21,$533865.87,16.27%,$1127859.46,$1001232.56,12.65%,2,2016,"QUARTERLY"""
COUNTY,Denton,$620707.21,$533865.87,16.27%,$1127859.46,$1001232.56,12.65%,2,2016,"QUARTERLY"""
CITY,Buffalo,$783.56,$608.01,28.87%,$3272.63,$2306.39,41.89%,4,2014,"QUARTERLY"""
CITY,Lake Dallas,$4288.10,$4677.58,-8.33%,$23059.12,$14084.54,63.72%,4,2013,"QUARTERLY"""
CITY,Helotes,$4262.82,$3706.23,15.02%,$4262.82,$3706.23,15.02%,1,2014,"QUARTERLY"""
CITY,Early,$3208.14,$3654.41,-12.21%,$13989.77,$12203.32,14.64%,4,2015,"QUARTERLY"""
CITY,Los Fresnos,$661.82,$0.00,0%,$1273.19,$0.00,0%,4,2015,"QUARTERLY"""
CITY,Splendora,$689.31,$729.74,-5.54%,$2908.44,$2521.46,15.35%,4,2014,"QUARTERLY"""
CITY,Sulphur Springs,$7107.93,$4982.13,42.67%,$7107.93,$4982.13,42.67%,1,2013,"QUARTERLY"""
COUNTY,Freestone,$3795.39,$2942.64,28.98%,$7929.06,$5744.40,38.03%,2,2014,"QUARTERLY"""
CITY,Bay City,$10665.22,$8963.12,18.99%,$28853.62,$24996.25,15.43%,3,2015,"QUARTERLY"""
COUNTY,Smith,$130456.74,$89382.23,45.95%,$130456.74,$89382.23,45.95%,1,2014,"QUARTERLY"""
CITY,Tyler,$104028.85,$99847.75,4.19%,$210971.63,$207675.93,1.59%,2,2015,"QUARTERLY"""
COUNTY,Stephens,$1580.42,$1506.12,4.93%,$6346.01,$5894.72,7.66%,4,2014,"QUARTERLY"""
CITY,Kaufman,$1116.66,$818.32,36.46%,$5266.64,$4343.56,21.25%,4,2013,"QUARTERLY"""
CITY,West Columbia,$356.32,$295.95,20.4%,$3158.54,$1529.48,106.51%,4,2015,"QUARTERLY"""
COUNTY,Kleberg,$12899.52,$18159.62,-28.97%,$12899.52,$18159.62,-28.97%,1,2015,"QUARTERLY"""
CITY,Van Horn,$642.01,$716.64,-10.41%,$642.01,$716.64,-10.41%,1,2016,"QUARTERLY"""
CITY,Howardwick,$165.83,$160.27,3.47%,$342.26,$356.93,-4.11%,3,2015,"QUARTERLY"""
CITY,Pecos,$1202.55,$1365.48,-11.93%,$1202.55,$1365.48,-11.93%,1,2016,"QUARTERLY"""
CITY,Cibolo,$3425.31,$1261.06,171.62%,$7508.83,$5840.04,28.57%,4,2015,"QUARTERLY"""
COUNTY,Caldwell,$1764.35,$1749.61,0.84%,$3309.44,$3380.90,-2.11%,2,2015,"QUARTERLY"""
COUNTY,Bee,$6907.29,$8336.08,-17.14%,$23592.87,$24808.76,-4.9%,3,2015,"QUARTERLY"""
CITY,Sherman,$21332.41,$20891.24,2.11%,$21332.41,$20891.24,2.11%,1,2013,"QUARTERLY"""
CITY,Helotes,$9299.90,$7719.48,20.47%,$24312.40,$18202.07,33.57%,3,2014,"QUARTERLY"""
CITY,Cranfills Gap,$722.51,$760.28,-4.97%,$2239.53,$2415.37,-7.28%,3,2015,"QUARTERLY"""
CITY,Pantego,$4043.78,$4680.74,-13.61%,$12206.29,$10348.78,17.95%,3,2014,"QUARTERLY"""
COUNTY,Lavaca,$2234.11,$3503.13,-36.23%,$2234.11,$3503.13,-36.23%,1,2013,"QUARTERLY"""
CITY,Denton,$133381.20,$118174.36,12.87%,$399672.95,$304932.71,31.07%,3,2014,"QUARTERLY"""
CITY,Splendora,$729.74,$523.65,39.36%,$2521.46,$2433.88,3.6%,4,2013,"QUARTERLY"""
CITY,Saginaw,$2165.97,$2459.86,-11.95%,$2165.97,$2459.86,-11.95%,1,2013,"QUARTERLY"""
CITY,Quitman,$0.00,$680.78,-100%,$334.08,$1744.80,-80.85%,3,2014,"QUARTERLY"""
CITY,Grapevine,$279794.31,$267052.44,4.77%,$545611.69,$538855.73,1.25%,2,2013,"QUARTERLY"""
CITY,Blanco,$2406.97,$1556.58,54.63%,$2406.97,$1556.58,54.63%,1,2016,"QUARTERLY"""
CITY,Georgetown,$34628.51,$30526.68,13.44%,$101120.98,$90134.20,12.19%,3,2015,"QUARTERLY"""
COUNTY,Scurry,$2919.41,$3576.42,-18.37%,$2919.41,$3576.42,-18.37%,1,2016,"QUARTERLY"""
COUNTY,Cooke,$9516.87,$10149.47,-6.23%,$9516.87,$10149.47,-6.23%,1,2013,"QUARTERLY"""
CITY,Manvel,$84.25,$62.35,35.12%,$146.27,$122.28,19.62%,2,2016,"QUARTERLY"""
CITY,Manvel,$84.25,$62.35,35.12%,$146.27,$122.28,19.62%,2,2016,"QUARTERLY"""
CITY,Rockwall,$55624.23,$45362.81,22.62%,$138938.05,$123856.49,12.18%,3,2013,"QUARTERLY"""
CITY,Hudson,$1141.36,$1086.40,5.06%,$4951.58,$4112.10,20.41%,4,2014,"QUARTERLY"""
CITY,Livingston,$1367.74,$2077.88,-34.18%,$4386.10,$5211.09,-15.83%,3,2014,"QUARTERLY"""
CITY,Hedwig Village,$14093.23,$14691.88,-4.07%,$28711.20,$29237.96,-1.8%,2,2016,"QUARTERLY"""
CITY,Hedwig Village,$14093.23,$14691.88,-4.07%,$28711.20,$29237.96,-1.8%,2,2016,"QUARTERLY"""
CITY,San Angelo,$62916.72,$56066.09,12.22%,$124999.00,$112455.32,11.15%,2,2013,"QUARTERLY"""
CITY,Frisco,$124033.46,$110575.37,12.17%,$233327.42,$214003.10,9.03%,2,2013,"QUARTERLY"""
COUNTY,Travis,$3261469.67,$3059544.77,6.6%,$6019778.96,$5582905.87,7.83%,2,2016,"QUARTERLY"""
COUNTY,Travis,$3261469.67,$3059544.77,6.6%,$6019778.96,$5582905.87,7.83%,2,2016,"QUARTERLY"""
CITY,Haskell,$368.99,$180.90,103.97%,$368.99,$180.90,103.97%,1,2014,"QUARTERLY"""
CITY,La Joya,$435.22,$520.21,-16.34%,$939.99,$1513.27,-37.88%,3,2013,"QUARTERLY"""
CITY,De Leon,$476.85,$537.64,-11.31%,$1482.94,$1320.21,12.33%,3,2014,"QUARTERLY"""
CITY,Red Oak,$3595.33,$2264.90,58.74%,$6596.90,$4228.27,56.02%,2,2016,"QUARTERLY"""
CITY,Red Oak,$3595.33,$2264.90,58.74%,$6596.90,$4228.27,56.02%,2,2016,"QUARTERLY"""
CITY,Devine,$511.88,$423.13,20.97%,$511.88,$423.13,20.97%,1,2013,"QUARTERLY"""
CITY,El Campo,$4723.84,$5055.98,-6.57%,$4723.84,$5055.98,-6.57%,1,2016,"QUARTERLY"""
CITY,Annetta,$330.75,$268.23,23.31%,$1413.81,$1022.95,38.21%,4,2014,"QUARTERLY"""
CITY,Webster,$132761.30,$117611.01,12.88%,$132761.30,$117611.01,12.88%,1,2015,"QUARTERLY"""
COUNTY,Comanche,$995.23,$782.67,27.16%,$2807.90,$2189.03,28.27%,3,2015,"QUARTERLY"""
CITY,Justin,$2771.66,$1959.51,41.45%,$5109.22,$3926.09,30.14%,2,2014,"QUARTERLY"""
CITY,Santa Fe,$2656.39,$2749.29,-3.38%,$8034.53,$9299.81,-13.61%,3,2015,"QUARTERLY"""
CITY,Woodcreek,$111.76,$160.80,-30.5%,$172.23,$259.68,-33.68%,2,2014,"QUARTERLY"""
CITY,Gun Barrel City,$8052.86,$6024.39,33.67%,$15928.95,$12163.03,30.96%,2,2014,"QUARTERLY"""
COUNTY,Blanco,$1980.76,$1883.93,5.14%,$3778.22,$3745.52,0.87%,2,2015,"QUARTERLY"""
CITY,La Joya,$292.49,$762.10,-61.62%,$1505.09,$1743.79,-13.69%,4,2015,"QUARTERLY"""
COUNTY,Camp,$710.34,$625.76,13.52%,$2986.61,$3560.37,-16.12%,4,2013,"QUARTERLY"""
CITY,Waxahachie,$18721.74,$13746.51,36.19%,$49446.31,$41246.87,19.88%,3,2013,"QUARTERLY"""
CITY,Shamrock,$1778.69,$2788.37,-36.21%,$7756.41,$12370.14,-37.3%,4,2015,"QUARTERLY"""
CITY,Brownsville,$82035.22,$75209.26,9.08%,$320852.96,$300762.51,6.68%,4,2015,"QUARTERLY"""
COUNTY,Floyd,$65.89,$69.13,-4.69%,$65.89,$69.13,-4.69%,1,2016,"QUARTERLY"""
COUNTY,Delta,$0.00,$120.15,-100%,$0.00,$120.15,-100%,3,2014,"QUARTERLY"""
CITY,Floresville,$3123.03,$3885.29,-19.62%,$3123.03,$3885.29,-19.62%,1,2016,"QUARTERLY"""
CITY,Mesquite,$73782.77,$69867.20,5.6%,$147000.26,$140234.99,4.82%,2,2016,"QUARTERLY"""
CITY,Mesquite,$73782.77,$69867.20,5.6%,$147000.26,$140234.99,4.82%,2,2016,"QUARTERLY"""
CITY,Krum,$466.37,$428.44,8.85%,$466.37,$428.44,8.85%,1,2016,"QUARTERLY"""
CITY,Farmersville,$534.65,$680.42,-21.42%,$534.65,$680.42,-21.42%,1,2016,"QUARTERLY"""
CITY,McAllen,$145470.42,$148364.41,-1.95%,$292238.08,$298949.21,-2.24%,2,2013,"QUARTERLY"""
CITY,Killeen,$54934.81,$57188.22,-3.94%,$180585.71,$151764.65,18.99%,3,2014,"QUARTERLY"""
CITY,Cockrell Hill,$194.73,$216.06,-9.87%,$302.54,$423.23,-28.52%,2,2015,"QUARTERLY"""
CITY,Chandler,$224.83,$135.26,66.22%,$716.50,$381.19,87.96%,4,2014,"QUARTERLY"""
CITY,Shiner,$105.29,$77.60,35.68%,$210.24,$187.51,12.12%,2,2013,"QUARTERLY"""
CITY,Hewitt,$786.05,$662.92,18.57%,$786.05,$662.92,18.57%,1,2014,"QUARTERLY"""
CITY,Oakwood,$348.38,$127.93,172.32%,$975.63,$127.93,662.63%,3,2013,"QUARTERLY"""
CITY,Hondo,$658.88,$434.55,51.62%,$658.88,$434.55,51.62%,1,2013,"QUARTERLY"""
COUNTY,Wilbarger,$1928.36,$1452.86,32.73%,$1928.36,$1452.86,32.73%,1,2016,"QUARTERLY"""
CITY,Smithville,$664.75,$22.63,2837.47%,$664.75,$22.63,2837.47%,1,2016,"QUARTERLY"""
COUNTY,Foard,$89.29,$77.72,14.89%,$238.44,$222.83,7.01%,3,2013,"QUARTERLY"""
COUNTY,Gaines,$852.73,$454.83,87.48%,$852.73,$454.83,87.48%,1,2015,"QUARTERLY"""
CITY,Nederland,$1905.94,$1199.33,58.92%,$1905.94,$1199.33,58.92%,1,2014,"QUARTERLY"""
CITY,Memphis,$391.36,$439.66,-10.99%,$1723.38,$1457.96,18.2%,4,2015,"QUARTERLY"""
CITY,Gatesville,$1913.78,$2664.35,-28.17%,$10443.78,$8151.49,28.12%,4,2014,"QUARTERLY"""
CITY,Colleyville,$35819.86,$21291.23,68.24%,$88713.87,$56382.84,57.34%,3,2014,"QUARTERLY"""
COUNTY,Bastrop,$38251.68,$37258.39,2.67%,$150783.83,$140200.74,7.55%,4,2015,"QUARTERLY"""
COUNTY,Jackson,$154.59,$204.94,-24.57%,$154.59,$204.94,-24.57%,1,2014,"QUARTERLY"""
COUNTY,Bexar,$2051501.37,$1881648.33,9.03%,$8523569.89,$6893522.96,23.65%,4,2014,"QUARTERLY"""
CITY,Pottsboro,$353.41,$208.95,69.14%,$353.41,$208.95,69.14%,1,2014,"QUARTERLY"""
CITY,Carthage,$1770.79,$1268.58,39.59%,$4231.81,$2960.01,42.97%,3,2013,"QUARTERLY"""
CITY,Gonzales,$3688.56,$4277.06,-13.76%,$7246.91,$8530.35,-15.05%,2,2016,"QUARTERLY"""
CITY,Gonzales,$3688.56,$4277.06,-13.76%,$7246.91,$8530.35,-15.05%,2,2016,"QUARTERLY"""
CITY,Fort Worth,$973552.81,$864145.14,12.66%,$2955306.82,$2261496.09,30.68%,3,2014,"QUARTERLY"""
CITY,Magnolia,$2435.22,$2284.78,6.58%,$6589.47,$6519.78,1.07%,3,2013,"QUARTERLY"""
CITY,Fulshear,$6131.06,$4627.82,32.48%,$24929.02,$17625.20,41.44%,4,2014,"QUARTERLY"""
CITY,Liberty Hill,$2675.72,$2895.45,-7.59%,$4835.69,$4505.29,7.33%,2,2015,"QUARTERLY"""
CITY,Kirby,$3024.09,$2575.25,17.43%,$5839.80,$4833.26,20.83%,2,2014,"QUARTERLY"""
COUNTY,Bandera,$5700.72,$4364.03,30.63%,$11137.15,$7469.41,49.1%,2,2016,"QUARTERLY"""
COUNTY,Bandera,$5700.72,$4364.03,30.63%,$11137.15,$7469.41,49.1%,2,2016,"QUARTERLY"""
CITY,Mexia,$1177.55,$1290.03,-8.72%,$2344.68,$2649.99,-11.52%,2,2013,"QUARTERLY"""
CITY,Leonard,$404.20,$100.87,300.71%,$1504.39,$328.58,357.85%,4,2014,"QUARTERLY"""
COUNTY,Reagan,$110.06,$180.72,-39.1%,$610.33,$410.01,48.86%,2,2014,"QUARTERLY"""
CITY,Troup,$381.63,$354.12,7.77%,$381.63,$354.12,7.77%,1,2013,"QUARTERLY"""
CITY,Wichita Falls,$77177.17,$56408.18,36.82%,$145846.24,$110375.38,32.14%,2,2014,"QUARTERLY"""
COUNTY,Dallam,$558.88,$505.14,10.64%,$1832.74,$1455.05,25.96%,3,2015,"QUARTERLY"""
COUNTY,Crockett,$1321.58,$1266.67,4.33%,$4165.61,$3489.48,19.38%,3,2014,"QUARTERLY"""
CITY,Tioga,$136.04,$93.53,45.45%,$224.75,$168.30,33.54%,2,2014,"QUARTERLY"""
COUNTY,Jeff Davis,$849.64,$796.84,6.63%,$1359.93,$1181.42,15.11%,2,2015,"QUARTERLY"""
COUNTY,Tyler,$307.07,$174.12,76.36%,$307.07,$174.12,76.36%,1,2013,"QUARTERLY"""
COUNTY,Knox,$78.73,$64.25,22.54%,$343.18,$476.14,-27.92%,4,2014,"QUARTERLY"""
CITY,Reno ( Parker Co. ),$2633.45,$960.66,174.13%,$4476.55,$2240.88,99.77%,2,2014,"QUARTERLY"""
CITY,Dalworthington Gardens,$898.94,$837.16,7.38%,$3009.44,$2298.24,30.95%,3,2014,"QUARTERLY"""
CITY,Mount Pleasant,$6251.35,$6206.39,0.72%,$25591.88,$26445.53,-3.23%,4,2013,"QUARTERLY"""
COUNTY,Robertson,$1063.12,$662.86,60.38%,$1063.12,$662.86,60.38%,1,2015,"QUARTERLY"""
CITY,Dell City,$75.78,$51.07,48.38%,$196.68,$184.57,6.56%,3,2015,"QUARTERLY"""
COUNTY,Upshur,$2447.82,$1207.58,102.7%,$2447.82,$1207.58,102.7%,1,2015,"QUARTERLY"""
CITY,Rancho Viejo,$1485.34,$1041.10,42.67%,$1485.34,$1041.10,42.67%,1,2014,"QUARTERLY"""
CITY,West,$226.97,$0.00,0%,$226.97,$0.00,0%,1,2015,"QUARTERLY"""
CITY,Paris,$15144.60,$14650.16,3.37%,$15144.60,$14650.16,3.37%,1,2016,"QUARTERLY"""
CITY,Texas City,$18687.31,$18495.55,1.04%,$73301.44,$68569.05,6.9%,4,2015,"QUARTERLY"""
CITY,Grand Saline,$751.86,$858.22,-12.39%,$1352.48,$1693.71,-20.15%,2,2014,"QUARTERLY"""
COUNTY,Fannin,$3241.85,$3577.95,-9.39%,$3241.85,$3577.95,-9.39%,1,2015,"QUARTERLY"""
CITY,Hughes Springs,$526.55,$336.17,56.63%,$1527.12,$1073.22,42.29%,4,2015,"QUARTERLY"""
CITY,Bandera,$4884.09,$2518.78,93.91%,$4884.09,$2518.78,93.91%,1,2016,"QUARTERLY"""
CITY,The Colony,$64891.15,$60205.48,7.78%,$117096.88,$91904.38,27.41%,2,2015,"QUARTERLY"""
COUNTY,Wichita,$69151.81,$54466.44,26.96%,$69151.81,$54466.44,26.96%,1,2014,"QUARTERLY"""
CITY,San Antonio,$1823951.47,$1325990.50,37.55%,$1823951.47,$1325990.50,37.55%,1,2014,"QUARTERLY"""
COUNTY,Frio,$1740.78,$1733.38,0.43%,$1740.78,$1733.38,0.43%,1,2013,"QUARTERLY"""
CITY,Nederland,$5426.65,$1697.64,219.66%,$12706.63,$3911.55,224.85%,3,2014,"QUARTERLY"""
CITY,Corsicana,$11205.32,$10487.66,6.84%,$46531.32,$43758.56,6.34%,4,2015,"QUARTERLY"""
CITY,Lago Vista,$2020.42,$1924.52,4.98%,$4848.30,$4699.51,3.17%,3,2014,"QUARTERLY"""
COUNTY,Grayson,$42444.72,$43166.13,-1.67%,$82194.05,$81773.88,0.51%,2,2013,"QUARTERLY"""
CITY,Alvarado,$191.10,$372.56,-48.71%,$560.37,$1054.18,-46.84%,3,2013,"QUARTERLY"""
COUNTY,Polk,$13174.50,$10418.24,26.46%,$49220.06,$40552.14,21.37%,4,2013,"QUARTERLY"""
CITY,Wills Point,$206.18,$99.29,107.65%,$206.18,$99.29,107.65%,1,2014,"QUARTERLY"""
COUNTY,Guadalupe,$27407.82,$24217.38,13.17%,$107656.77,$102249.38,5.29%,4,2015,"QUARTERLY"""
COUNTY,Tyler,$419.87,$663.56,-36.72%,$1302.03,$1739.59,-25.15%,3,2015,"QUARTERLY"""
COUNTY,Jasper,$4178.66,$4116.17,1.52%,$17097.68,$15404.26,10.99%,4,2014,"QUARTERLY"""
CITY,Mesquite,$73217.49,$70367.79,4.05%,$73217.49,$70367.79,4.05%,1,2016,"QUARTERLY"""
CITY,Celina,$852.47,$749.39,13.76%,$1471.60,$1231.38,19.51%,2,2015,"QUARTERLY"""
CITY,Watauga,$16218.72,$16893.11,-3.99%,$31549.98,$31826.92,-0.87%,2,2016,"QUARTERLY"""
CITY,Watauga,$16218.72,$16893.11,-3.99%,$31549.98,$31826.92,-0.87%,2,2016,"QUARTERLY"""
CITY,Brownfield,$110.56,$214.56,-48.47%,$110.56,$214.56,-48.47%,1,2015,"QUARTERLY"""
COUNTY,Coke,$0.00,$26.02,-100%,$0.00,$64.70,-100%,2,2015,"QUARTERLY"""
COUNTY,Erath,$17035.29,$16191.08,5.21%,$34036.01,$32389.01,5.09%,2,2013,"QUARTERLY"""
COUNTY,Dimmit,$4909.68,$1644.00,198.64%,$4909.68,$1644.00,198.64%,1,2014,"QUARTERLY"""
CITY,Balch Springs,$4086.57,$1517.35,169.32%,$4086.57,$1517.35,169.32%,1,2014,"QUARTERLY"""
CITY,Mansfield,$41059.22,$38208.23,7.46%,$169631.39,$130654.42,29.83%,4,2014,"QUARTERLY"""
COUNTY,Medina,$4400.72,$3423.47,28.55%,$8585.46,$6844.30,25.44%,2,2016,"QUARTERLY"""
COUNTY,Medina,$4400.72,$3423.47,28.55%,$8585.46,$6844.30,25.44%,2,2016,"QUARTERLY"""
CITY,West Orange,$1230.04,$1315.05,-6.46%,$2321.96,$2525.74,-8.07%,2,2013,"QUARTERLY"""
CITY,Eagle Lake,$407.99,$540.46,-24.51%,$1899.52,$1944.38,-2.31%,4,2014,"QUARTERLY"""
CITY,Bellaire,$4729.81,$2585.48,82.94%,$16318.77,$8281.47,97.05%,4,2013,"QUARTERLY"""
CITY,Port Arthur,$38328.67,$28028.55,36.75%,$74951.47,$56204.47,33.35%,2,2014,"QUARTERLY"""
CITY,Jefferson,$3841.20,$4219.01,-8.95%,$15607.86,$13609.15,14.69%,4,2014,"QUARTERLY"""
COUNTY,Potter,$137580.36,$100356.28,37.09%,$137580.36,$100356.28,37.09%,1,2014,"QUARTERLY"""
CITY,Roma,$325.08,$432.40,-24.82%,$325.08,$432.40,-24.82%,1,2014,"QUARTERLY"""
CITY,Hughes Springs,$403.64,$319.49,26.34%,$748.70,$671.08,11.57%,2,2016,"QUARTERLY"""
CITY,Hughes Springs,$403.64,$319.49,26.34%,$748.70,$671.08,11.57%,2,2016,"QUARTERLY"""
CITY,Hitchcock,$3452.54,$3165.63,9.06%,$7909.76,$6383.07,23.92%,3,2015,"QUARTERLY"""
CITY,Highland Village,$13906.19,$14244.90,-2.38%,$13906.19,$14244.90,-2.38%,1,2013,"QUARTERLY"""
CITY,Highland Village,$25227.71,$29967.99,-15.82%,$76412.47,$79579.23,-3.98%,3,2015,"QUARTERLY"""
COUNTY,Rusk,$2782.33,$2566.27,8.42%,$7291.69,$8263.74,-11.76%,3,2013,"QUARTERLY"""
CITY,Milford,$79.77,$53.38,49.44%,$198.80,$109.06,82.28%,2,2014,"QUARTERLY"""
